date,year,month,fews_maize_price_ngn_kg,fews_n_markets
2015-01-01,2015,1,2020.0,1
2015-02-01,2015,2,2846.6667,1
2015-03-01,2015,3,2409.3333,1
2015-04-01,2015,4,2381.5,1
2015-05-01,2015,5,2249.5,1
2015-08-01,2015,8,2283.8,1
2015-09-01,2015,9,2387.1579,1
2015-10-01,2015,10,2124.4,1
2015-11-01,2015,11,2784.4,1
2015-12-01,2015,12,2640.24,1
2016-01-01,2016,1,2914.8,1
2016-02-01,2016,2,3337.75,1
2016-03-01,2016,3,3323.4,1
2016-04-01,2016,4,4041.7888,1
2016-05-01,2016,5,5315.1812,1
2016-06-01,2016,6,6414.9395,1
2016-07-01,2016,7,7019.1613,1
2016-08-01,2016,8,8082.2445,1
2016-09-01,2016,9,8996.2075,1
2016-10-01,2016,10,7220.1619,1
2016-11-01,2016,11,6455.1785,1
2016-12-01,2016,12,7010.0288,1
2017-01-01,2017,1,6821.5629,1
2017-02-01,2017,2,7723.1513,1
2017-03-01,2017,3,6788.3193,1
2017-04-01,2017,4,7205.3151,1
2017-05-01,2017,5,10445.2698,1
2017-06-01,2017,6,4785.7139,1
2017-07-01,2017,7,9580.7563,1
2017-08-01,2017,8,8077.7311,1
2018-02-01,2018,2,5230.4257,1
2018-03-01,2018,3,5202.5459,1
2018-04-01,2018,4,5692.44,1
2018-05-01,2018,5,5995.3535,1
2018-06-01,2018,6,6032.9213,1
2018-07-01,2018,7,5993.8209,1
2018-08-01,2018,8,6162.3344,1
2018-09-01,2018,9,5748.0501,1
2018-10-01,2018,10,5639.7306,1
2018-11-01,2018,11,4858.8967,1
2018-12-01,2018,12,3864.5026,1
2019-01-01,2019,1,3722.917,1
2019-02-01,2019,2,3610.56,1
2019-03-01,2019,3,4090.0462,1
2019-04-01,2019,4,3778.6582,1
2019-05-01,2019,5,3604.8733,1
2019-06-01,2019,6,3272.734,1
2019-07-01,2019,7,3265.8956,1
2019-08-01,2019,8,3502.9192,1
2019-09-01,2019,9,4290.7974,1
2019-10-01,2019,10,5020.5167,1
2019-11-01,2019,11,5010.8426,1
2019-12-01,2019,12,4222.0853,1
2020-01-01,2020,1,4204.6703,1
2020-02-01,2020,2,4234.4388,1
2020-03-01,2020,3,4553.6136,1
2020-04-01,2020,4,5744.1488,1
2020-05-01,2020,5,5837.7734,1
2020-06-01,2020,6,6675.6765,1
2020-07-01,2020,7,8586.6073,1
2020-08-01,2020,8,9343.4024,1
2020-09-01,2020,9,10658.2005,1
2020-10-01,2020,10,9944.8835,1
2020-11-01,2020,11,8435.8173,1
2020-12-01,2020,12,8099.8023,1
2021-01-01,2021,1,9648.6442,1
2021-02-01,2021,2,10689.4484,1
2021-03-01,2021,3,10895.67,1
2021-04-01,2021,4,9911.6284,1
2021-05-01,2021,5,10598.8281,1
2021-06-01,2021,6,12469.3588,1
2021-07-01,2021,7,12850.5394,1
2021-08-01,2021,8,11704.4752,1
2021-09-01,2021,9,10403.7538,1
2021-10-01,2021,10,10305.5186,1
2021-11-01,2021,11,9797.489,1
2021-12-01,2021,12,10501.8597,1
2022-01-01,2022,1,11937.6715,1
2022-02-01,2022,2,11495.8909,1
2022-03-01,2022,3,11370.4297,1
2022-04-01,2022,4,11089.8454,1
2022-05-01,2022,5,10336.2686,1
2022-06-01,2022,6,10111.0077,1
2022-07-01,2022,7,10152.669,1
2022-08-01,2022,8,9893.0762,1
2022-09-01,2022,9,9850.6029,1
2022-10-01,2022,10,9824.7266,1
2022-11-01,2022,11,11276.5379,1
2022-12-01,2022,12,11045.9679,1
2023-01-01,2023,1,11632.6627,1
2023-02-01,2023,2,11362.499,1
2023-03-01,2023,3,12178.2799,1
2023-04-01,2023,4,12859.0192,1
2023-05-01,2023,5,14139.0831,1
2023-06-01,2023,6,16870.5881,1
2023-07-01,2023,7,21918.4427,1
2023-08-01,2023,8,27063.1475,1
2023-09-01,2023,9,27063.1475,1
2023-10-01,2023,10,19545.7125,1
2023-11-01,2023,11,19188.8,1
2023-12-01,2023,12,20632.7438,1
2024-01-01,2024,1,26208.145,1
2024-02-01,2024,2,27063.1475,1
2024-03-01,2024,3,27063.1475,1
2024-04-01,2024,4,27063.1475,1
2024-05-01,2024,5,27063.1475,1
