date,year,month,quarter,fews_maize_price_ngn_kg,fews_n_markets,climate_cloud_amt,design_avg_precip_mm,design_avg_wind_ms,temp_dbavg_c,temp_dbstd_c,temp_cdd100_cd,temp_cdd183_cd,temp_cdh233_cd,temp_cdh267_cd,nfpt_maize_price_ngn,nfpt_n_observations,nfpt_price_std
2015-01-01,2015,1,1,2020.0,1,19.69,0.0,3.6,26.8,1.9,521.7,264.4,3402.3,2080.9,913.8104000000001,1416.5,196.7057
2015-02-01,2015,2,1,2846.6667,1,56.45,0.1,4.0,29.6,2.0,555.9,320.7,4428.6,2853.3,913.8104000000001,1416.5,196.7057
2015-03-01,2015,3,1,2409.3333,1,79.2,3.9,3.6,32.7,1.4,703.6,446.3,6767.8,4468.7,913.8104000000001,1416.5,196.7057
2015-04-01,2015,4,2,2381.5,1,55.56,50.3,3.6,32.7,1.8,680.3,431.3,6524.5,4152.1,913.8104000000001,1416.5,196.7057
2015-05-01,2015,5,2,2249.5,1,74.34,103.3,3.0,30.7,2.1,640.2,382.9,5225.9,2893.8,913.8104000000001,1416.5,196.7057
2015-06-01,2015,6,2,7471.6566,1.0,66.76,120.6,2.5,28.9,1.8,565.7,316.7,3793.5,1806.6,913.8104000000001,1416.5,196.7057
2015-07-01,2015,7,3,7471.6566,1.0,67.91,234.7,2.6,26.9,1.5,524.4,267.1,2518.5,937.8,913.8104000000001,1416.5,196.7057
2015-08-01,2015,8,3,2283.8,1,85.04,175.8,2.5,26.1,1.0,497.7,240.4,1940.2,582.8,913.8104000000001,1416.5,196.7057
2015-09-01,2015,9,3,2387.1579,1,65.15,158.2,1.9,26.5,1.0,496.3,247.3,2244.3,754.9,913.8104000000001,1416.5,196.7057
2015-10-01,2015,10,4,2124.4,1,55.18,61.1,2.0,27.7,1.5,550.0,292.7,3227.6,1480.1,913.8104000000001,1416.5,196.7057
2015-11-01,2015,11,4,2784.4,1,21.56,14.0,2.8,27.8,1.8,533.4,284.4,3535.2,2020.3,913.8104000000001,1416.5,196.7057
2015-12-01,2015,12,4,2640.24,1,17.25,0.4,3.5,26.6,1.8,514.7,257.4,3168.0,1887.3,913.8104000000001,1416.5,196.7057
2016-01-01,2016,1,1,2914.8,1,21.53,0.0,3.6,26.8,1.9,521.7,264.4,3402.3,2080.9,913.8104000000001,1416.5,196.7057
2016-02-01,2016,2,1,3337.75,1,24.3,0.1,4.0,29.6,2.0,555.9,320.7,4428.6,2853.3,913.8104000000001,1416.5,196.7057
2016-03-01,2016,3,1,3323.4,1,83.12,3.9,3.6,32.7,1.4,703.6,446.3,6767.8,4468.7,913.8104000000001,1416.5,196.7057
2016-04-01,2016,4,2,4041.7888,1,71.19,50.3,3.6,32.7,1.8,680.3,431.3,6524.5,4152.1,913.8104000000001,1416.5,196.7057
2016-05-01,2016,5,2,5315.1812,1,79.45,103.3,3.0,30.7,2.1,640.2,382.9,5225.9,2893.8,913.8104000000001,1416.5,196.7057
2016-06-01,2016,6,2,6414.9395,1,67.25,120.6,2.5,28.9,1.8,565.7,316.7,3793.5,1806.6,913.8104000000001,1416.5,196.7057
2016-07-01,2016,7,3,7019.1613,1,75.75,234.7,2.6,26.9,1.5,524.4,267.1,2518.5,937.8,913.8104000000001,1416.5,196.7057
2016-08-01,2016,8,3,8082.2445,1,78.15,175.8,2.5,26.1,1.0,497.7,240.4,1940.2,582.8,913.8104000000001,1416.5,196.7057
2016-09-01,2016,9,3,8996.2075,1,73.23,158.2,1.9,26.5,1.0,496.3,247.3,2244.3,754.9,913.8104000000001,1416.5,196.7057
2016-10-01,2016,10,4,7220.1619,1,51.51,61.1,2.0,27.7,1.5,550.0,292.7,3227.6,1480.1,913.8104000000001,1416.5,196.7057
2016-11-01,2016,11,4,6455.1785,1,28.45,14.0,2.8,27.8,1.8,533.4,284.4,3535.2,2020.3,913.8104000000001,1416.5,196.7057
